,Name,Population,Median Age,TotalAgeOvr65,state,county,fips_concate,Percent Age Ovr 65
71,"Morrison County, Minnesota",32880.0,41.7,5923.0,27,97,27097,0.18
72,"Pennington County, Minnesota",14197.0,39.5,2448.0,27,113,27113,0.17
73,"Rice County, Minnesota",65251.0,36.6,9407.0,27,131,27131,0.14
74,"Steele County, Minnesota",36612.0,39.3,5941.0,27,147,27147,0.16
75,"Sherburne County, Minnesota",92024.0,35.9,9482.0,27,141,27141,0.1
76,"Wadena County, Minnesota",13626.0,41.7,2871.0,27,159,27159,0.21
77,"Benton County, Minnesota",39360.0,35.6,5210.0,27,9,27009,0.13
78,"Carver County, Minnesota",98799.0,37.2,10302.0,27,19,27019,0.1
79,"Freeborn County, Minnesota",30619.0,44.3,6643.0,27,47,27047,0.22
80,"Itasca County, Minnesota",45237.0,45.9,9683.0,27,61,27061,0.21
81,"McLeod County, Minnesota",35816.0,40.4,6351.0,27,85,27085,0.18
82,"Pope County, Minnesota",10932.0,45.9,2505.0,27,121,27121,0.23
83,"Ramsey County, Minnesota",537893.0,34.8,71903.0,27,123,27123,0.13
84,"Stevens County, Minnesota",9759.0,33.1,1675.0,27,149,27149,0.17
85,"Swift County, Minnesota",9448.0,44.1,2017.0,27,151,27151,0.21
86,"Winona County, Minnesota",50992.0,34.5,7889.0,27,169,27169,0.15
